x	2008_LiDAR
426.5132775	3963.64
427.6660161	3965.94
428.8187547	3967.16
429.9714933	3969.72
431.1242319	3970.25
432.2769704	3969.22
433.429709	3968.39
434.5824476	3966.76
435.7351862	3965.21
436.8879248	3964.4
438.0406634	3962.88
439.193402	3961.98
440.3461406	3960.38
441.4988791	3959.41
442.6516177	3957.75
443.8043563	3944.73
444.9570949	3944.62
446.1098335	3944.56
447.2625721	3944.69
448.4153107	3944.04
449.5680493	3944.09
450.7207878	3944.46
451.8735264	3945.56
453.026265	3945.97
454.1790036	3946.67
455.3317422	3947.14
456.4844808	3948.44
457.6372194	3949.33
458.789958	3950.76
459.9426965	3952.13
461.0954351	3953.03
462.2481737	3952.45
463.4009123	3952.43
464.5536509	3947.16
465.7063895	3945.69
466.8591281	3943.59
468.0118667	3941.88
469.1646053	3940.76
470.3173438	3939.52
471.4700824	3939.36
472.622821	3938.18
473.7755596	3937.75
474.9282982	3936.45
476.0810368	3935.29
477.2337754	3934.87
478.386514	3934.12
479.5392525	3933.81
480.6919911	3933.02
481.8447297	3932.66
482.9974683	3931.69
484.1502069	3930.73
485.3029455	3930.34
486.4556841	3929.3
487.6084227	3928.94
488.7611612	3927.82
489.9138998	3927.39
491.0666384	3926.25
492.219377	3924.96
493.3721156	3924.53
494.5248542	3923.26
495.6775928	3922.77
496.8303314	3921.59
497.9830699	3921.19
499.1358085	3919.91
500.2885471	3918.69
501.4412857	3918.16
502.5940243	3916.95
503.7467629	3916.48
504.8995015	3915.25
506.0522401	3914.74
507.2049787	3913.69
508.3577172	3912.67
509.5104558	3912.18
510.6631944	3911.5
511.815933	3911.08
512.9686716	3910.23
514.1214102	3909.71
515.2741488	3909.02
516.4268874	3909.07
517.5796259	3908.18
518.7323645	3906.36
519.8851031	3905.92
521.0378417	3904.38
522.1905803	3903.98
523.3433189	3902.59
524.4960575	3901.2
525.6487961	3900.73
526.8015346	3899.59
527.9542732	3899.12
529.1070118	3898.04
530.2597504	3897.68
531.412489	3896.8
532.5652276	3895.89
533.7179662	3895.56
534.8707048	3894.84
536.0234433	3894.55
537.1761819	3893.78
538.3289205	3893.51
539.4816591	3892.86
540.6343977	3892.19
541.7871363	3891.99
542.9398749	3891.45
544.0926135	3891.3
545.245352	3890.79
546.3980906	3890.64
547.5508292	3890.07
548.7035678	3889.65
549.8563064	3889.45
551.009045	3888.9
552.1617836	3888.83
553.3145222	3888.15
554.4672608	3883.8
555.6199993	3882.22
556.7727379	3881.14
557.9254765	3880.82
559.0782151	3879.77
560.2309537	3879.45
561.3836923	3878.59
562.5364309	3878.29
563.6891695	3877.47
564.841908	3876.5
565.9946466	3876.24
567.1473852	3875.49
568.3001238	3875.39
569.4528624	3874.72
570.605601	3874.47
571.7583396	3873.93
572.9110782	3872.92
574.0638167	3872.27
575.2165553	3871.08
576.3692939	3871.05
577.5220325	3869.29
578.6747711	3868.91
579.8275097	3867.42
580.9802483	3866.81
582.1329869	3866.45
583.2857254	3863.58
584.438464	3862.67
585.5912026	3860.93
586.7439412	3861.32
587.8966798	3859.24
589.0494184	3857.57
590.202157	3856.55
591.3548956	3848.37
592.5076342	3846.06
593.6603727	3838.94
594.8131113	3839.31
595.9658499	3839.61
597.1185885	3840.14
598.2713271	3840.42
599.4240657	3840.97
600.5768043	3840.82
601.7295429	3839.74
602.8822814	3838.96
604.03502	3838.45
605.1877586	3838.15
606.3404972	3836.76
607.4932358	3833
608.6459744	3828.38
609.798713	3826.52
610.9514516	3826.22
612.1041901	3826.45
613.2588575	3826.95
614.4135248	3826.98
615.5681921	3827.42
616.7228594	3827.32
617.8775267	3825.15
619.0321941	3823.26
620.1868614	3827.22
621.3415287	3828.61
622.496196	3828.38
623.6508633	3828.17
624.8055307	3828.02
625.960198	3828.02
627.1148653	3827.93
628.2695326	3827.74
629.4242	3827.66
630.5788673	3827.38
631.7335346	3827.25
632.8882019	3827.06
634.0428692	3826.71
635.1975366	3826.26
636.3522039	3826.05
637.5068712	3825.67
638.6615385	3825.45
639.8162058	3821.75
640.9708732	3817.78
642.1255405	3815.29
643.2802078	3815.02
644.4348751	3816.6
645.5895424	3820.58
646.7442098	3823.22
647.8988771	3822.41
649.0535444	3822.1
650.2082117	3820.66
651.362879	3817.91
652.5175464	3819.53
653.6722137	3819.64
654.826881	3819.49
655.9815483	3817.88
657.1362156	3816.44
658.290883	3815.82
659.4455503	3814.26
660.6002176	3813.83
661.7548849	3812.41
662.9095522	3811.84
664.0642196	3810.64
665.2188869	3809.35
666.3735542	3808.64
667.5282215	3807.57
668.6828888	3806.95
669.8375562	3805.69
670.9922235	3805.08
672.1468908	3804.11
673.3015581	3803.13
674.4562254	3802.61
675.6108928	3801.93
676.7655601	3801.43
677.9202274	3800.57
679.0748947	3800.2
680.229562	3799.4
681.3842294	3796.56
682.5388967	3789.17
683.693564	3784.08
684.8482313	3781.09
686.0028986	3779.86
687.157566	3770.32
688.3122333	3772.99
689.4669006	3776.42
690.6215679	3779.56
691.7762353	3793.3
692.9309026	3795.31
694.0855699	3797.56
695.2402372	3796.9
696.3949045	3795.87
697.5495719	3794.91
698.7042392	3794.28
699.8589065	3793.37
701.0135738	3792.75
702.1682411	3791.72
703.3229085	3790.82
704.4775758	3790.27
705.6322431	3789.36
706.7869104	3788.78
707.9415777	3787.74
709.0962451	3787.1
710.2509124	3786.32
711.4055797	3785.32
712.560247	3784.73
713.7149143	3783.81
714.8695817	3783.22
716.024249	3782.36
717.1789163	3781.77
718.3335836	3780.42
719.4882509	3779.05
720.6429183	3778.46
721.7975856	3777.61
722.9522529	3776.83
724.1069202	3775.96
725.2615875	3775.46
726.4162549	3774.51
727.5709222	3772.12
728.7255895	3756.81
729.8802568	3762.92
731.0349241	3761.82
732.1895915	3765.54
733.3442588	3765.86
734.4989261	3768.46
735.6535934	3766.76
736.8082607	3765.62
737.9629281	3763.24
739.1175954	3762.24
740.2722627	3761.04
741.42693	3760.16
742.5815973	3759.2
743.7362647	3758.16
744.890932	3757.51
746.0455993	3756.78
747.2002666	3756.27
748.3549339	3756.1
749.5096013	3756.19
750.6642686	3755.04
751.8189359	3753.95
752.9736032	3752.91
754.1282706	3751.9
755.2829379	3750.96
756.4376052	3736.4
757.5922725	3736.29
758.7469398	3736.27
759.9016072	3738.38
761.0562745	3738.68
762.2109418	3738.74
763.3656091	3739.16
764.5202764	3738.82
765.6749438	3737.65
766.8296111	3736.95
767.9842784	3735.77
769.1389457	3735.25
770.293613	3734.59
771.4482804	3734.16
772.6029477	3733.58
773.757615	3733.11
774.9122823	3732.78
776.0669496	3732.46
777.221617	3732.27
778.3762843	3732.16
779.5309516	3732.21
